Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
Spectrum Glass Company - Woodinville,2014,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,11739,0,11728,5,6,0,0,0,0,,1,"47.777004, -122.148978",,,POINT (-122.148978 47.777004)
Cascade Natural Gas Corporation LDC - statewide,2023,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,27198,0,3025,24171,2,0,0,0,0,,2,"46.21875, -119.22987",27198,Covered Entity,POINT (-119.22987 46.21875)
The Boeing Company - Auburn Site - Auburn,2019,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,36795,0,36758,17,21,0,0,0,0,,2,"47.285551, -122.242298",,,POINT (-122.242298 47.285551)
"SEH America, Inc - Vancouver",2020,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,10896,0,10885,5,6,0,0,0,0,,1,"45.649912, -122.553612",,,POINT (-122.553612 45.649912)
River Road Generating Plant - Vancouver,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,327201,0,326869,152,181,0,0,0,0,,3,"45.64958, -122.724806",,,POINT (-122.724806 45.64958)
River Road Generating Plant - Vancouver,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,553919,0,553357,257,306,0,0,0,0,,3,"45.64958, -122.724806",,,POINT (-122.724806 45.64958)
The Boeing Company - Fabrication (Frederickson Site) - Puyallup,2014,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,21442,0,21420,10,12,0,0,0,0,,1,"47.088831, -122.34862",,,POINT (-122.34862 47.088831)
"WestRock CP, LLC - Tacoma",2020,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1108691,965097,137925,1051,4618,0,0,0,0,,4,"47.260953, -122.421765",,,POINT (-122.421765 47.260953)
Starbucks Kent Flexible Plant - Kent,2018,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,12709,0,12696,6,7,0,0,0,0,,1,"47.436276, -122.237648",,,POINT (-122.237648 47.436276)
Naval Base Kitsap - Bremerton,2021,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,43005,0,42960,21,25,0,0,0,0,,2,"47.557047, -122.645933",,,POINT (-122.645933 47.557047)
Northwest Hardwoods Inc. - Mount Vernon,2013,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,12937,9075,3737,19,106,0,0,0,0,,1,"48.451642, -122.443028",,,POINT (-122.443028 48.451642)
Murphy Veneer - Elma,2014,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Murphy Co.,Elma,Grays Harbor,Olympic Region Clean Air Agency,11845,0,11833,6,7,0,0,0,0,,1,"47.040323, -123.334339",,,POINT (-123.334339 47.040323)
Chehalis Generation Facility - Chehalis,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,678983,0,678293,314,375,0,0,0,0,,3,"46.6226, -122.9145",,,POINT (-122.9145 46.6226)
Puget Sound Energy - Encogen Generating Station - Bellingham,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Bellingham,Whatcom,Northwest Clean Air Agency,191710,0,191515,89,106,0,0,0,0,,3,"48.746, -122.486",,,POINT (-122.486 48.746)
The Boeing Company - Auburn Site - Auburn,2014,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,36691,0,36653,17,21,0,0,0,0,,2,"47.285551, -122.242298",,,POINT (-122.242298 47.285551)
Nippon Dynawave - Longview,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1532282,1218099,306756,1614,5814,0,0,0,0,Formerly included North Pacific Paper Company before 2016.,4,"46.130495, -122.983637",,,POINT (-122.983637 46.130495)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2012,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,108364,0,108252,51,61,0,0,0,0,,3,"47.687074, -117.212673",,,POINT (-117.212673 47.687074)
Frederickson Power LP - Tacoma,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,"Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc",Tacoma,Pierce,Puget Sound Clean Air Agency,369506,0,369130,171,204,0,0,0,0,,3,"47.086342, -122.365686",,,POINT (-122.365686 47.086342)
NW Natural - supplier,2016,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,,Portland,Multnomah,,406648,0,406231,190,227,0,0,0,0,,,,,,
Imerys Minerals Quincy Plant - Quincy,2018,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,22730,0,22706,11,13,0,0,0,0,,1,"47.239948, -119.838831",,,POINT (-119.838831 47.239948)
H.W. Hill Landfill Gas Power Plant - Roosevelt,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,92771,92297,0,142,333,0,0,0,0,,2,"45.807765, -120.166354",,,POINT (-120.166354 45.807765)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,6838,0,6830,4,5,0,0,0,0,,1,"48.885475, -122.724299",,,POINT (-122.724299 48.885475)
Boeing Commercial Airplanes - Everett,2021,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,67480,0,67411,32,38,0,0,0,0,,2,"47.918622, -122.276987",,,POINT (-122.276987 47.918622)
"Gas Transmission Northwest Compressor Station 6, LLC - Rosalia",2021,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Whitman,Spokane Regional Clean Air Agency,75387,0,74694,652,42,0,0,0,0,,2,"47.277256, -117.406737",,,POINT (-117.406737 47.277256)
Northwest Pipeline C/S - Sumas,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,96858,0,92864,3942,52,0,0,0,0,,2,"49.001, -122.2214",,,POINT (-122.2214 49.001)
DH Feeders - Eltopia,2019,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,14478,0,1211,1028,12238,0,0,0,0,,1,"46.50919, -118.881203",,,POINT (-118.881203 46.50919)
Alcoa Intalco Works - Ferndale,2012,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1146835,0,412832,11814,30,0,722159,0,0,PFC emissions based on old source test information.,4,"48.8455, -122.7055",,,POINT (-122.7055 48.8455)
"Interfor US, Inc. - Port Angeles",2023,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,39544,39023,0,75,446,0,0,0,0,,2,"48.103425, -123.518642",,Reporter,POINT (-123.518642 48.103425)
"WestRock CP, LLC - Tacoma",2021,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1080789,928981,146359,1018,4431,0,0,0,0,,4,"47.260953, -122.421765",,,POINT (-122.421765 47.260953)
Seattle-Tacoma International Airport - Seattle,2019,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,13610,0,13596,6,8,0,0,0,0,,1,"47.443643, -122.302452",,,POINT (-122.302452 47.443643)
Georgia-Pacific Consumer Operations LLC - Camas,2023,Pulp and Paper,Kraft Mills,322120,Paper Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,53794,0,48436,5331,27,0,0,0,0,,2,"45.584271, -122.40843",53794,Covered Entity,POINT (-122.40843 45.584271)
City of Tacoma Solid Waste Facility - Tacoma,2017,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,16417,0,0,16417,0,0,0,0,0,,1,"47.223413, -122.499775",,,POINT (-122.499775 47.223413)
Spokane Waste to Energy Facility - Spokane,2023,Power Plants,"Other Power, Heating, or Cooling Plants",562213,Solid Waste Combustors and Incinerators,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,232129,131530,95490,1992,3116,0,0,0,0,,3,"47.626529, -117.504278",,Reporter,POINT (-117.504278 47.626529)
Nutrien US LLC. - Kennewick,2018,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,119791,0,11207,1,108583,0,0,0,0,,3,"46.165957, -119.017218",,,POINT (-119.017218 46.165957)
"Vaagen Bros. Lumber, Inc. - Colville",2019,Wood Products,Lumber Mills,321999,All Other Miscellaneous Wood Product Manufacturing,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,50941,50269,0,97,575,0,0,0,0,,2,"48.548525, -117.915469",,,POINT (-117.915469 48.548525)
Cascade Natural Gas Corporation LDC - statewide,2018,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,23973,0,115,23858,0,0,0,0,0,,1,"46.21875, -119.22987",,,POINT (-119.22987 46.21875)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,24854,0,24828,12,14,0,0,0,0,,1,"47.079716, -122.364711",,,POINT (-122.364711 47.079716)
CertainTeed Gypsum - Seattle,2019,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,49333,0,49282,23,28,0,0,0,0,,2,"47.548056, -122.336944",,,POINT (-122.336944 47.548056)
Northwest Pipeline C/S - Mount Vernon,2016,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,69093,0,66878,2178,38,0,0,0,0,,2,"48.421967, -122.21547",,,POINT (-122.21547 48.421967)
Boeing Commercial Airplanes - Everett,2017,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,80529,0,80446,38,45,0,0,0,0,,2,"47.918622, -122.276987",,,POINT (-122.276987 47.918622)
Tree Top - Prosser,2019,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,15659,0,15643,7,9,0,0,0,0,,1,"46.21842, -119.73397",,,POINT (-119.73397 46.21842)
Avista Corporation LDC - WA - statewide,2015,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,15338,0,19,15320,0,0,0,0,0,,1,"47.673662, -117.388735",,,POINT (-117.388735 47.673662)
Northwest Pipeline C/S - Washougal,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Washougal,Clark,Southwest Clean Air Agency,20598,0,18287,2301,10,0,0,0,0,,1,"45.63236, -122.36516",,,POINT (-122.36516 45.63236)
"Gas Transmission Northwest Compressor Station 8, LLC -Wallula",2014,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,81465,0,75234,6189,42,0,0,0,0,,2,"46.053153, -118.843934",,,POINT (-118.843934 46.053153)
The Boeing Company: Boeing Plant 2 - Seattle,2020,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,18837,0,18818,9,10,0,0,0,0,,1,"47.532524, -122.311623",,,POINT (-122.311623 47.532524)
Port Angeles Hardwood LLC - Port Angeles,2021,Wood Products,Lumber Mills,321113,Sawmills,Port Angeles Hardwood LLC,Port Angeles,Clallam,Olympic Region Clean Air Agency,22863,22562,0,43,258,0,0,0,0,,1,"48.100872, -123.485745",,,POINT (-123.485745 48.100872)
J.R. Simplot Company - Othello,2018,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,99691,0,46683,52982,26,0,0,0,0,,2,"46.837778, -119.176389",,,POINT (-119.176389 46.837778)
Cascade Natural Gas Corporation - supplier,2018,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,"MDU Resources Group, Inc.",Kennewick,Benton,,1640921,0,1639228,772,921,0,0,0,0,,,,,,
TransAlta Energy Marketing (U.S.) Inc.,2022,Power,Marketer,,,TransAlta Energy Marketing (U.S.) Inc.,Calgary,MD of Foothills No. 31,,82997,,,,,,,,,,,,,,
City of Tacoma Solid Waste Facility - Tacoma,2016,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,14513,0,0,14513,0,0,0,0,0,,1,"47.223413, -122.499775",,,POINT (-122.499775 47.223413)
Keyes Fibre Corporation - Wenatchee,2021,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Tekni-Plex Wenatchee Fiber Consumer Porducts,Wenatchee,Chelan,Ecology: Central Regional Office,16806,0,16789,8,10,0,0,0,0,,1,"47.485987, -120.316363",,,POINT (-120.316363 47.485987)
TransAlta Centralia Generation LLC - Centralia,2014,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,7447081,0,7388703,21354,37024,0,0,0,0,,5,"46.7559, -122.8578",,,POINT (-122.8578 46.7559)
"El Oro Cattle Feeders, LLC - Moses Lake",2013,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,21558,0,0,1670,19888,0,0,0,0,,1,"47.052176, -119.093815",,,POINT (-119.093815 47.052176)
"Bio Energy Washington, LLC - Maple Valley",2017,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,28310,26824,1344,42,100,0,0,0,0,,2,"47.455871, -122.041817",,,POINT (-122.041817 47.455871)
Sierra Pacific Industries - Shelton,2023,Wood Products,Lumber Mills,321212,Softwood Veneer and Plywood Manufacturing,Simpson Lumber Company LLC,Shelton,Mason,Olympic Region Clean Air Agency,59279,58498,0,112,669,0,0,0,0,,2,"47.213448, -123.096517",,Reporter,POINT (-123.096517 47.213448)
Chehalis Generation Facility - Chehalis,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,371646,0,371268,172,205,0,0,0,0,,3,"46.6226, -122.9145",,,POINT (-122.9145 46.6226)
Puget Sound Energy - Goldendale Generating Station - Goldendale,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Goldendale,Klickitat,Ecology: Central Regional Office,425704,0,425272,197,235,0,0,0,0,,3,"45.8114, -120.833",,,POINT (-120.833 45.8114)
Sonoco Products - Sumner,2022,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,10820,0,10809,5,6,0,0,0,0,,1,"47.210641, -122.239474",,,POINT (-122.239474 47.210641)
Peninsula Light Company - Gig Harbor,2023,Power,COU,2211,"Electric Power Generation, Transmission and Distribution",Jafar Taghavi (CEO),Gig Harbor,Pierce,,11359,,,,,,,,,,,,,Reporter,
Puget Sound Energy LDC Facility - Bellevue,2019,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,61438,0,105,61333,0,0,0,0,0,,2,"47.61345, -122.19454",,,POINT (-122.19454 47.61345)
"El Oro Cattle Feeders, LLC - Moses Lake",2012,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,25363,0,0,1969,23394,0,0,0,0,,2,"47.052176, -119.093815",,,POINT (-119.093815 47.052176)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2019,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,128390,0,128258,61,72,0,0,0,0,,3,"47.687074, -117.212673",,,POINT (-117.212673 47.687074)
Starbucks Kent Flexible Plant - Kent,2023,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,12057,0,12044,6,7,0,0,0,0,,1,"47.436276, -122.237648",,Reporter,POINT (-122.237648 47.436276)
Bonneville Power Administration - WA Only - statewide,2016,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,17121,0,0,0,0,0,0,17121,0,,1,"45.661178, -122.658608",,,POINT (-122.658608 45.661178)
Murphy Veneer - Elma,2016,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Murphy Co.,Elma,Grays Harbor,Olympic Region Clean Air Agency,10709,0,10698,5,6,0,0,0,0,,1,"47.040323, -123.334339",,,POINT (-123.334339 47.040323)
City of Enumclaw Gas Utility - supplier,2017,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Enumclaw,Enumclaw,King,,24896,0,24871,12,14,0,0,0,0,,,,,,
Sierra Pacific Industries - Shelton,2022,Wood Products,Lumber Mills,321212,Softwood Veneer and Plywood Manufacturing,Simpson Lumber Company LLC,Shelton,Mason,Olympic Region Clean Air Agency,68214,67315,0,129,770,0,0,0,0,,2,"47.213448, -123.096517",,,POINT (-123.096517 47.213448)
Nippon Dynawave - Longview,2015,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1466046,1143229,314962,1706,6149,0,0,0,0,Assigned emissions level.  Formerly included North Pacific Paper before 2016.  Ecology split emissions for consistency with cooperation from facility.,4,"46.130495, -122.983637",,,POINT (-122.983637 46.130495)
US Army Joint Base Lewis-McChord - Pierce Co.,2014,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,83587,0,60454,23093,40,0,0,0,0,,2,"47.1142, -122.5365",,,POINT (-122.5365 47.1142)
Puget Sound Energy - Mint Farm Generating Station - Longview,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,633493,0,632849,294,350,0,0,0,0,,3,"46.140095, -122.985138",,,POINT (-122.985138 46.140095)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2023,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,308591,0,308273,145,173,0,0,0,0,,3,"48.885475, -122.724299",308478,Covered Entity,POINT (-122.724299 48.885475)
Washington State University - Pullman,2019,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,66455,0,66377,34,45,0,0,0,0,,2,"46.728702, -117.151481",,,POINT (-117.151481 46.728702)
Nutrien US LLC. - Kennewick,2013,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,154497,0,7671,1,146825,0,0,0,0,,3,"46.165957, -119.017218",,,POINT (-119.017218 46.165957)
Northwest Pipeline C/S - Sumas,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,69616,0,64130,5447,39,0,0,0,0,,2,"49.001, -122.2214",,,POINT (-122.2214 49.001)
Northwest Hardwoods Inc. - Longview,2012,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Longview,Cowlitz,Southwest Clean Air Agency,13571,7926,5467,70,109,0,0,0,0,,1,"46.114537, -122.916806",,,POINT (-122.916806 46.114537)
Grant County Landfill 1 - Ephrata,2013,Waste,Landfills,562212,Solid Waste Landfill,Grant County Washington,Ephrata,Grant,Ecology: Eastern Regional Office,38883,0,0,38883,0,0,0,0,0,,2,"47.270759, -119.573764",,,POINT (-119.573764 47.270759)
Frederickson Power LP - Tacoma,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,"Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc",Tacoma,Pierce,Puget Sound Clean Air Agency,496752,0,496248,230,274,0,0,0,0,,3,"47.086342, -122.365686",,,POINT (-122.365686 47.086342)
Lamb Weston - Richland,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,34551,0,34516,16,19,0,0,0,0,,2,"46.309314, -119.297267",,,POINT (-119.297267 46.309314)
Okanogan County Central Landfill - Okanogan,2021,Waste,Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,16241,0,0,16241,0,0,0,0,0,,1,"48.341148, -119.620109",,,POINT (-119.620109 48.341148)
"SGL Carbon, LLC - Moses Lake",2015,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,12858,0,12844,6,7,0,0,0,0,First year reporting.,1,"47.208993, -119.285437",,,POINT (-119.285437 47.208993)
Air Liquide Electronics Moses Lake Hydrogen Plant,2012,Chemicals,Other Chemicals,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,17339,0,17339,0,0,0,0,0,0,,1,"47.135844, -119.19962",,,POINT (-119.19962 47.135844)
Hampton Lumber Mills Washington Inc. - Randle,2021,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,66131,65259,0,125,746,0,0,0,0,,2,"46.533743, -121.917906",,,POINT (-121.917906 46.533743)
Sonoco Products - Sumner,2021,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,11480,0,11468,6,7,0,0,0,0,,1,"47.210641, -122.239474",,,POINT (-122.239474 47.210641)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2014,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,114924,0,114806,54,64,0,0,0,0,,3,"47.687074, -117.212673",,,POINT (-117.212673 47.687074)
Ardagh Glass Inc. - Seattle,2021,Minerals,Glass Production,327213,Glass Container Manufacturing,Ardagh Holdings USA Inc.,Seattle,King,Puget Sound Clean Air Agency,57881,0,57836,21,24,0,0,0,0,,2,"47.55242, -122.33739",,,POINT (-122.33739 47.55242)
The Boeing Company: DC/MFC - Tukwila,2021,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,12319,0,12306,6,7,0,0,0,0,,1,"47.516246, -122.298613",,,POINT (-122.298613 47.516246)
The Boeing Company - Renton,2015,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,17191,0,17174,8,10,0,0,0,0,,1,"47.498257, -122.211346",,,POINT (-122.211346 47.498257)
Puget Sound Energy - Sumas Generating Station - Sumas,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,282703,0,282416,131,156,0,0,0,0,,3,"48.9905, -122.2733",,,POINT (-122.2733 48.9905)
Hampton Lumber Mills Washington Inc. - Darrington,2013,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,96513,95241,0,183,1089,0,0,0,0,,2,"48.262797, -121.597608",,,POINT (-121.597608 48.262797)
Naval Base Kitsap - Bremerton,2016,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,43755,0,43709,21,25,0,0,0,0,,2,"47.557047, -122.645933",,,POINT (-122.645933 47.557047)
General Petroleum LLC - Seattle,2022,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Maxum Enterprises, LLC",Seattle,King,,411810,0,411424,66,320,0,0,0,0,,,,,,
TransAlta Centralia Generation LLC - Centralia,2019,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,8000387,0,7937672,22940,39775,0,0,0,0,,5,"46.7559, -122.8578",,,POINT (-122.8578 46.7559)
J.R. Simplot Company - Moses Lake,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,39793,3696,30186,5881,30,0,0,0,0,,2,"47.131732, -119.18926",,,POINT (-119.18926 47.131732)
Terrace Heights Landfill - Yakima,2021,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,125721,0,22,125699,0,0,0,0,0,,3,"46.610031, -120.39408",,,POINT (-120.39408 46.610031)
