Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
"Gas Transmission Northwest, LLC - Houston",2023,Supplier,Natural Gas Supplier,486210,Pipeline Transportation of Natural Gas,TC Energy,Houston,Harris,,,,,,,,,,,,,,,Reporter,
Lamb Weston - Quincy,2022,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,35378,0,35341,17,20,0,0,0,0,,2,"47.234413, -119.869914",,,POINT (-119.869914 47.234413)
Terrace Heights Landfill - Yakima,2012,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,102488,0,16,102472,0,0,0,0,0,,3,"46.610031, -120.39408",,,POINT (-120.39408 46.610031)
Steelscape - Kalama,2018,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,NS BlueScope USA LLC,Kalama,Cowlitz,Southwest Clean Air Agency,24156,0,24131,11,13,0,0,0,0,,1,"46.04326, -122.871703",,,POINT (-122.871703 46.04326)
J.R. Simplot Company - Othello,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,95215,0,49074,46114,27,0,0,0,0,,2,"46.837778, -119.176389",,,POINT (-119.176389 46.837778)
Boeing Commercial Airplanes - Everett,2012,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,71463,0,71389,34,40,0,0,0,0,,2,"47.918622, -122.276987",,,POINT (-122.276987 47.918622)
Lamb Weston - Warden,2023,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,14112,0,14097,7,8,0,0,0,0,,1,"46.971504, -119.055427",,Reporter,POINT (-119.055427 46.971504)
Weyerhaeuser Raymond Lumber - Raymond,2021,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,44899,44307,0,85,507,0,0,0,0,,2,"46.688088, -123.737495",,,POINT (-123.737495 46.688088)
Tree Top - Selah Campus,2020,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,20339,0,20318,10,11,0,0,0,0,,1,"46.64992, -120.52755",,,POINT (-120.52755 46.64992)
Darigold - Sunnyside,2012,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,22078,0,22055,11,13,0,0,0,0,,1,"46.30058, -120.015675",,,POINT (-120.015675 46.30058)
"Midstream Energy Partners (USA), LLC -Tupman",2023,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"South 49 Holdings, Ltd.",Tupman,Kern,,124898,0,124397,148,353,0,0,0,0,,,,91117,Covered Entity,
City of Tacoma Solid Waste Facility - Tacoma,2015,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,14812,0,0,14812,0,0,0,0,0,,1,"47.223413, -122.499775",,,POINT (-122.499775 47.223413)
J.R. Simplot Company - Moses Lake,2022,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,33007,6762,20804,5406,36,0,0,0,0,,2,"47.131732, -119.18926",,,POINT (-119.18926 47.131732)
Cowlitz County Tennant Way Landfill - Longview,2021,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County Washington,Longview,Cowlitz,Southwest Clean Air Agency,15762,0,0,15762,0,0,0,0,0,,1,"46.107229, -122.905601",,,POINT (-122.905601 46.107229)
Cowlitz County Tennant Way Landfill - Longview,2016,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County Washington,Longview,Cowlitz,Southwest Clean Air Agency,17254,0,0,17254,0,0,0,0,0,,1,"46.107229, -122.905601",,,POINT (-122.905601 46.107229)
TransAlta Centralia Generation LLC - Centralia,2015,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,5665101,0,5619677,16615,28808,0,0,0,0,,5,"46.7559, -122.8578",,,POINT (-122.8578 46.7559)
Northwest Pipeline C/S - Chehalis,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,12757,0,11310,1441,6,0,0,0,0,,1,"46.533325, -122.87373",,,POINT (-122.87373 46.533325)
Sierra Pacific Industries - Aberdeen,2016,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,220243,215642,1720,415,2467,0,0,0,0,,3,"46.971875, -123.775526",,,POINT (-123.775526 46.971875)
Pilot Travel Centers LLC - Knoxville,2023,Supplier,Other Fuel Supplier,457120,Other Gasoline Stations,Pilot Travel Centers LLC,Knoxville,Knox,,27266,276,26964,4,23,0,0,0,0,,,,26991,Covered Entity,
City of Ellensburg LDC - supplier,2019,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Ellensburg,Ellensburg,Kittitas,,29657,0,29627,14,17,0,0,0,0,,,,,,
Riverside Feeders SFL - Kennewick,2021,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,5456,0,311,399,4747,0,0,0,0,Voluntary reporter.  Manure management reporting repealed by Legislature.,1,"45.991872, -119.136497",,,POINT (-119.136497 45.991872)
Washington Potato Company - Warden,2013,Food Production,Potato Products,311991,Perishable Prepared Food Manufacturing,Washington Potato Co.,Warden,Grant,Ecology: Eastern Regional Office,31968,0,31935,15,18,0,0,0,0,,2,"46.970469, -119.063631",,,POINT (-119.063631 46.970469)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,478280,0,477794,222,264,0,0,0,0,,3,"48.828707, -122.685533",,,POINT (-122.685533 48.828707)
Northwest Pipeline Willard C/S - Cook,2023,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,9146,0,7458,1685,4,0,0,0,0,,1,"45.778087, -121.626311",9146,Covered Entity,POINT (-121.626311 45.778087)
Hampton Lumber Mills Washington Inc. - Darrington,2016,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,94826,93577,0,180,1070,0,0,0,0,,2,"48.262797, -121.597608",,,POINT (-121.597608 48.262797)
Great Western Malt - Vancouver,2018,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,13770,0,13756,7,8,0,0,0,0,,1,"45.631069, -122.690043",,,POINT (-122.690043 45.631069)
Hattenhauer Distributing Co - The Dalles,2023,Supplier,Other Fuel Supplier,457110,Gasoline Stations with Convenience Stores,Hattenhauer Distributing Co,The Dalles,Wasco,,16828,1018,15604,17,189,0,0,0,0,,,,,Reporter,
Puget Sound Energy - Whitehorn Generating Station - Blaine,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,29472,0,29441,14,18,0,0,0,0,,2,"48.885475, -122.724299",,,POINT (-122.724299 48.885475)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2023,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,124834,0,124706,59,70,0,0,0,0,,3,"47.687074, -117.212673",124833,Covered Entity,POINT (-117.212673 47.687074)
Lamb Weston - Richland,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,36252,0,36215,17,20,0,0,0,0,,2,"46.309314, -119.297267",,,POINT (-119.297267 46.309314)
Frederickson Power LP - Tacoma,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,"Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc",Tacoma,Pierce,Puget Sound Clean Air Agency,271639,0,271363,126,150,0,0,0,0,,3,"47.086342, -122.365686",,,POINT (-122.365686 47.086342)
SDS Lumber Company - Bingen,2017,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,57787,56682,348,109,648,0,0,0,0,,2,"45.713913, -121.468688",,,POINT (-121.468688 45.713913)
Graymont Western US. Inc. - Tacoma,2014,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,60625,0,60278,127,220,0,0,0,0,,2,"47.271365, -122.397262",,,POINT (-122.397262 47.271365)
U.S. Oil & Refining Co. - Tacoma,2016,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,146049,0,144562,1008,479,0,0,0,0,,3,"47.256813, -122.394952",,,POINT (-122.394952 47.256813)
